Trial,Goal_X,Goal_Y,Goal_Z,Base_Success,Base_Time,Base_Nodes,Base_Tunneling,SCA_Success,SCA_Time,SCA_Nodes
81,-0.17024775366580927,0.35236710590572967,0.4634943374451471,True,0.195,522,False,True,0.421,438
82,-0.08638919575449526,-0.4896513097515689,0.24862920613105552,True,0.576,925,True,True,1.093,871
83,-0.4644475426478075,-0.22467371281307566,0.152516214442693,True,2.093,1817,True,False,16.106,4325
84,0.09982377069023893,-0.2590912260942881,0.3372927999698029,False,14.945,4883,False,False,16.237,4366
85,-0.078727169285596,0.3724712549100228,0.19584974444250985,False,14.760,4844,False,False,16.411,4411
86,0.013333602262618758,0.012137272879172368,0.6408562070834134,True,0.000,2,False,True,0.001,2
87,-0.28460733195742866,0.2638372497103034,0.07124483605906881,True,1.794,1686,False,True,1.491,1072
88,-0.41703164508078217,0.07427048897038535,0.40221747282365017,True,1.049,1273,False,False,16.359,4403
89,0.05544925812100312,-0.34912296901496853,0.26998714239050053,False,14.806,4854,False,True,9.906,3330
90,-0.28799651936028997,-0.27654381648594123,0.4248106719272984,True,0.119,393,False,True,2.090,1328
91,-0.32375648239757665,0.19710730552195974,0.11755567989143662,True,1.066,1289,False,False,15.958,4288
92,0.28967440497067587,-0.13637307654687747,0.2600587553073426,False,14.820,4872,False,False,16.423,4414
93,-0.1571670359310658,0.1556431884054483,0.5897799710573317,True,0.004,47,False,True,0.364,390
94,0.31100188196852185,0.13747281436282566,0.39646880748303215,True,2.455,1976,True,True,3.477,1823
95,0.41006333935120354,-0.20164989117840817,0.28779067904027444,True,0.624,972,True,True,4.228,2070
96,-0.24962572470040748,-0.18310256663069527,0.4681051547593908,True,0.112,383,True,True,2.555,1511
97,-0.3325227803173528,0.27244136503892485,0.15693735595706235,False,14.848,4876,False,True,2.239,1387
98,0.09838116077507587,-0.1162667041476934,0.6072668356769304,True,0.002,30,False,True,0.041,57
99,0.04784824872392406,-0.030309182046121465,0.6009814126024395,True,0.000,3,False,True,0.019,27
100,-0.0751169628133599,0.3187354453047826,0.3376704926186274,False,14.880,4883,False,True,14.686,4153
